original,correct,attempt_count,ms_first_response,answer_type,position,skill_name,hint_total,opportunity
1,1,1,32454,algebra,126,Box and Whisker,3,1
1,1,1,4922,algebra,126,Box and Whisker,3,2
1,0,2,25390,algebra,22,Box and Whisker,3,1
1,1,1,4859,algebra,22,Box and Whisker,3,2
1,1,1,16031,algebra,22,Box and Whisker,4,4
1,1,1,15047,algebra,22,Box and Whisker,4,5
1,1,1,10732,algebra,22,Box and Whisker,3,6
1,1,1,23241,algebra,22,Box and Whisker,4,1
1,1,1,11512,algebra,22,Box and Whisker,2,2
1,1,1,14891,algebra,126,Box and Whisker,3,1
1,1,1,32844,algebra,126,Box and Whisker,4,2
1,1,1,38860,algebra,126,Box and Whisker,3,1
1,1,1,6249,algebra,126,Box and Whisker,3,2
1,1,1,5710,algebra,126,Box and Whisker,3,1
1,1,1,4741,algebra,126,Box and Whisker,3,2
1,1,1,13816,algebra,126,Box and Whisker,3,1
1,1,1,7441,algebra,126,Box and Whisker,3,2
1,0,2,12898,algebra,126,Box and Whisker,4,1
1,1,1,10955,algebra,126,Box and Whisker,4,2
1,0,2,27857,algebra,126,Box and Whisker,3,3
1,1,1,13479,algebra,126,Box and Whisker,4,4
1,1,1,5385,algebra,126,Box and Whisker,3,5
1,0,2,154880,algebra,22,Box and Whisker,4,1
1,0,4,53687,algebra,22,Box and Whisker,3,2
1,1,1,34671,algebra,22,Box and Whisker,4,3
1,1,1,4781,algebra,22,Box and Whisker,3,4
1,1,1,9000,algebra,22,Box and Whisker,3,5
1,0,2,9575,algebra,126,Box and Whisker,4,1
1,1,1,6422,algebra,126,Box and Whisker,4,2
1,0,3,11365,algebra,126,Box and Whisker,3,3
1,1,1,4412,algebra,126,Box and Whisker,4,4
1,1,1,6902,algebra,126,Box and Whisker,3,5
1,0,2,60953,algebra,22,Box and Whisker,3,1
1,0,3,98752,algebra,22,Box and Whisker,4,2
1,1,1,17944,algebra,22,Box and Whisker,3,3
1,1,1,6350,algebra,22,Box and Whisker,3,4
1,1,1,5283,algebra,22,Box and Whisker,3,5
1,1,1,9649,algebra,126,Box and Whisker,3,6
1,1,1,4619,algebra,126,Box and Whisker,3,7
1,1,1,4453,algebra,126,Box and Whisker,3,1
1,1,1,3937,algebra,126,Box and Whisker,3,2
1,1,1,7112,algebra,126,Box and Whisker,3,1
1,1,1,6971,algebra,126,Box and Whisker,3,2
1,1,1,14555,algebra,126,Box and Whisker,3,1
1,1,1,25132,algebra,126,Box and Whisker,4,2
1,1,1,7281,algebra,246,Box and Whisker,3,1
1,1,1,7234,algebra,246,Box and Whisker,3,2
1,0,3,155280,algebra,126,Box and Whisker,3,1
1,1,1,22576,algebra,126,Box and Whisker,4,2
1,1,1,38121,algebra,126,Box and Whisker,3,3
1,1,1,4655,algebra,126,Box and Whisker,3,4
1,0,3,49890,algebra,1,Box and Whisker,3,1
1,1,1,43593,algebra,1,Box and Whisker,3,2
1,1,1,6734,algebra,1,Box and Whisker,3,3
1,1,1,35577,algebra,1,Box and Whisker,3,4
1,1,1,120255,algebra,1,Box and Whisker,4,1
1,0,3,13750,algebra,1,Box and Whisker,3,2
1,0,2,21470,algebra,1,Box and Whisker,4,3
1,1,1,7625,algebra,1,Box and Whisker,3,4
1,0,2,6141,algebra,1,Box and Whisker,3,5
1,1,1,146813,algebra,1,Box and Whisker,3,1
1,1,1,16641,algebra,1,Box and Whisker,4,2
1,1,1,6641,algebra,1,Box and Whisker,2,1
1,1,1,6751,algebra,1,Box and Whisker,3,2
1,1,1,20191,algebra,1,Box and Whisker,3,1
1,1,1,5453,algebra,1,Box and Whisker,3,2
1,1,1,191269,algebra,1,Box and Whisker,3,1
1,1,1,70813,algebra,1,Box and Whisker,3,2
1,1,1,13250,algebra,1,Box and Whisker,3,1
1,1,1,56532,algebra,1,Box and Whisker,3,2
1,1,1,53247,algebra,1,Box and Whisker,3,1
1,1,1,9257,algebra,1,Box and Whisker,3,2
1,1,1,15895,algebra,1,Box and Whisker,3,1
1,1,1,5949,algebra,1,Box and Whisker,3,2
1,1,1,19781,algebra,1,Box and Whisker,3,1
1,1,1,9656,algebra,1,Box and Whisker,3,2
1,1,1,50047,algebra,1,Box and Whisker,4,1
1,1,1,35063,algebra,1,Box and Whisker,3,2
1,1,1,111939,algebra,1,Box and Whisker,3,1
1,1,1,5704,algebra,1,Box and Whisker,3,2
1,1,1,10393,algebra,1,Box and Whisker,3,1
1,1,1,4727,algebra,1,Box and Whisker,3,2
1,1,1,12203,algebra,1,Box and Whisker,4,1
1,1,1,8219,algebra,1,Box and Whisker,4,2
1,1,1,19331,algebra,1,Box and Whisker,4,1
1,0,1,15613,algebra,1,Box and Whisker,3,2
1,1,1,17254,algebra,1,Box and Whisker,4,3
1,1,1,29412,algebra,1,Box and Whisker,3,4
1,0,2,20192,algebra,1,Box and Whisker,4,5
1,0,2,105392,algebra,1,Box and Whisker,3,1
1,1,1,51813,algebra,1,Box and Whisker,4,2
1,1,1,15938,algebra,1,Box and Whisker,4,3
1,1,1,20704,algebra,1,Box and Whisker,4,4
1,1,1,14953,algebra,1,Box and Whisker,3,1
1,0,3,8406,algebra,1,Box and Whisker,3,2
1,0,3,9484,algebra,1,Box and Whisker,3,3
1,1,1,20812,algebra,1,Box and Whisker,3,4
1,1,1,3313,algebra,1,Box and Whisker,3,5
1,1,1,13750,algebra,1,Box and Whisker,3,6
1,1,1,15241,algebra,1,Box and Whisker,4,1
1,1,1,13802,algebra,1,Box and Whisker,3,2
1,1,1,24890,algebra,1,Box and Whisker,3,1
1,1,1,7890,algebra,1,Box and Whisker,4,2
1,1,1,18095,algebra,1,Box and Whisker,3,1
1,1,1,17298,algebra,1,Box and Whisker,3,2
1,1,1,9344,algebra,246,Box and Whisker,4,1
1,1,1,5216,algebra,246,Box and Whisker,3,2
1,1,1,22682,algebra,22,Box and Whisker,3,1
1,1,1,19371,algebra,22,Box and Whisker,3,2
1,1,1,131156,algebra,126,Box and Whisker,3,3
1,1,1,6589,algebra,126,Box and Whisker,3,4
1,1,1,15376,algebra,22,Box and Whisker,3,1
1,1,1,8810,algebra,22,Box and Whisker,3,2
1,0,4,26988,algebra,126,Box and Whisker,4,3
1,1,1,18125,algebra,22,Box and Whisker,3,2
1,0,4,56865,algebra,1,Box and Whisker,4,1
1,1,1,42476,algebra,1,Box and Whisker,3,2
1,0,4,26223,algebra,1,Box and Whisker,4,3
1,0,2,27547,algebra,1,Box and Whisker,3,4
1,1,1,6906,algebra,1,Box and Whisker,3,5
1,1,1,9229,algebra,126,Box and Whisker,3,1
1,1,1,12742,algebra,126,Box and Whisker,3,2
1,0,2,38290,algebra,58,Box and Whisker,3,1
1,0,4,8366,algebra,58,Box and Whisker,4,2
1,1,1,9661,algebra,58,Box and Whisker,4,3
1,1,1,17925,algebra,58,Box and Whisker,4,4
1,0,2,6856,algebra,58,Box and Whisker,4,5
1,1,1,6596,algebra,58,Box and Whisker,3,6
1,1,1,16417,algebra,58,Box and Whisker,4,7
1,1,1,19936,algebra,40,Box and Whisker,3,1
1,1,1,10515,algebra,40,Box and Whisker,3,2
1,1,1,22593,algebra,126,Box and Whisker,3,1
1,1,1,22328,algebra,126,Box and Whisker,3,2
1,0,2,17364,algebra,22,Box and Whisker,3,1
1,1,1,5930,algebra,22,Box and Whisker,3,2
1,1,1,5914,algebra,22,Box and Whisker,3,3
1,1,1,8980,algebra,126,Box and Whisker,3,4
1,1,1,10801,algebra,126,Box and Whisker,4,5
1,1,1,12246,algebra,126,Box and Whisker,4,1
1,0,2,25459,algebra,126,Box and Whisker,3,2
1,1,1,7784,algebra,126,Box and Whisker,3,3
1,1,1,14227,algebra,126,Box and Whisker,3,4
1,1,1,5023,algebra,126,Box and Whisker,3,5
1,1,1,10811,algebra,126,Box and Whisker,3,1
1,1,1,14025,algebra,126,Box and Whisker,3,2
1,1,1,7875,algebra,126,Box and Whisker,3,1
1,1,1,5860,algebra,126,Box and Whisker,3,2
1,1,1,10603,algebra,246,Box and Whisker,4,1
1,1,1,6819,algebra,246,Box and Whisker,4,2
1,1,1,5112,algebra,126,Box and Whisker,3,3
1,1,1,8357,algebra,126,Box and Whisker,4,4
1,0,1,21706,algebra,148,Box and Whisker,3,1
1,1,1,12388,algebra,148,Box and Whisker,3,2
1,0,1,11790,algebra,148,Box and Whisker,4,3
1,1,1,6238,algebra,148,Box and Whisker,3,4
1,1,1,11667,algebra,148,Box and Whisker,4,5
1,1,1,31672,algebra,148,Box and Whisker,3,6
1,1,1,14328,algebra,30,Box and Whisker,2,7
1,1,1,9375,algebra,30,Box and Whisker,2,8
1,1,1,7437,algebra,30,Box and Whisker,2,9
1,1,1,5594,algebra,30,Box and Whisker,0,10
1,1,1,5062,algebra,30,Box and Whisker,2,11
1,1,1,19653,algebra,223,Box and Whisker,3,12
1,1,1,34829,algebra,223,Box and Whisker,4,13
1,1,1,4266,algebra,22,Box and Whisker,3,1
1,1,1,6922,algebra,22,Box and Whisker,3,2
1,1,1,4297,algebra,126,Box and Whisker,3,3
